MERCHANTS WITH SUGGESTIONS
================================================================================
(Review and confirm or change the categories)

 1. Heqing Heli (Shanghai) Catering Management Co., Ltd. | Eating Out
 2. JUNGLEplus Guangzhou Animation Town Store          | Entertainment
 3. Jiuding Catering Mgmt                              | Eating Out
 4. Personal collection - Niyanbing                    | Eating Out
 5. President Chain Store (Shanghai) Convenience Co., Ltd. | Groceries
 6. Rongkang Shared Massage Chair                      | Health & Wellness
 7. Shanghai Baomao Catering Management Co., Ltd.      | Eating Out
 8. Shanghai International Travel Healthcare Center    | Health & Wellness
 9. Shanghai One-Stop Govt Service Payment Platform    | Utilities & Services
10. Shanghai Tantan Catering Management Co., Ltd.      | Eating Out
11. Shanghai Yinghe Enterprise Management Co., Ltd.    | Eating Out
12. Shanghai Yunyi Catering Co., Ltd.                  | Eating Out
13. Xiaoman Handmade Noodles                           | Eating Out
14. Xikebao (Shanghai) Catering Service Co., Ltd.      | Eating Out
15. Zhengsanxi by Korea Street Cabin BBQ               | Eating Out
16. floating kitchen                                   | Eating Out
17. 上海优悠生活商业管理有限公司                                     | Utilities & Services
18. 上海公共交通卡股份有限公司                                      | Transportation
19. 上海饱猫餐饮管理有限公司                                       | Eating Out
20. 中国移动                                               | Utilities & Services
21. 卓联（上海）餐饮服务有限公司                                     | Eating Out
22. 宁波市轨道交通集团有限公司线网调度分公司                               | Transportation
23. 浦东机场                                               | Travel
24. 蜜雪冰城934055店                                        | Eating Out
