merchant_pattern,category
13DE MARZO CAFÉ,Eating Out
7-11Ningbo Zhejiang,Groceries
7-ELEVEN,Groceries
??War??Wolf??,???
ALDICommerce(?,Groceries
AMINO AMIGO,Eating Out
APIO,Groceries
B. E. DULGUUN,Transfers & Gifts
BURGER KING,Eating Out
Big Yellow Goose,Eating Out
C-Store,Groceries
CHAGEE,Eating Out
China Mobile,Utilities & Services
"Chuyi (Shanghai) Catering Management Co., Ltd.",Eating Out
Chuyi Catering,Eating Out
Dewu (POIZON) App Merchant,Shopping
DiDi,Transportation
Domino's,Eating Out
"Dufurui (Shanghai) Commerce Co., Ltd.",???
Elephant Smart Vending,Eating Out
Evie,Eating Out
FamilyMart,Groceries
G. A. ERDENE,Transfers & Gifts
Guangzhou Photo Booth,Entertainment
"Guangzhou Wanke Amusement Equipment Co., Ltd.",Entertainment
HEYTEA,Eating Out
Habibi,Eating Out
Haode,???
"Heqing Heli (Shanghai) Catering Management Co., Ltd.",???
HeyGuac Americas Western Food,Eating Out
Holy Bagel,Eating Out
Hu-Zhe 7-ELEVEN,Groceries
Huixuan Market,Groceries
JUNGLEplus Guangzhou Animation Town Store,???
Jiuding Catering Mgmt,???
Jiufen Old Street,Travel
Juyou Wutong,???
K-MART,Groceries
KFC,Eating Out
KKV,Groceries
KOG,Eating Out
Kunlun Tangfu Lanzhou Clear-Soup Beef Noodles,Eating Out
LA BARAKA UV,???
LAWSON,Groceries
Lanzhou Beef Noodles,Eating Out
Lingdong,Eating Out
M.i,Transfers & Gifts
MINISO,Shopping
MUJI,Shopping
Ma Yongsheng Beef Noodles,Eating Out
Maoshi,Eating Out
Margad,Transfers & Gifts
McDonald's,Eating Out
Meishujia Korean Cuisine Bibimbap,Eating Out
Meituan,Eating Out
Mixue,Eating Out
Mojo Coffee,Eating Out
NYU Shanghai,Other
Ningbo Yinzhou Shounan Fangxia Restaurant,Eating Out
O. A. OCHIR,Eating Out
ODAY,Groceries
POPEYES,Eating Out
Personal collection - Niyanbing,???
Pinduoduo,Shopping
Pinduoduo Platform Merchant,Shopping
Pizza Hut,Eating Out
Popeys,Eating Out
"President Chain Store (Shanghai) Convenience Co., Ltd.",???
Rongkang Shared Massage Chair,???
SUBWAY,Eating Out
Saizeriya,Eating Out
Shanghai Baomao Bar,Eating Out
"Shanghai Baomao Catering Management Co., Ltd.",???
Shanghai International Travel Healthcare Center,???
Shanghai One-Stop Govt Service Payment Platform,???
"Shanghai Pumo Brand Management Co., Ltd.",???
Shanghai Ruisheng Industry & Trade,Utilities & Services
"Shanghai Tantan Catering Management Co., Ltd.",???
"Shanghai Xiangxuehai International Trade Co., Ltd.",???
"Shanghai Yinghe Enterprise Management Co., Ltd.",???
"Shanghai Yunyi Catering Co., Ltd.",???
Sinopec,Utilities & Services
Spring Airlines,Travel
Steve,Transfers & Gifts
Su Xiaoliu,???
Sydney Yuen,Transfers & Gifts
Taobao Platform Merchant,Shopping
Tselmeg Bayarjargal,Transfers & Gifts
UYANGA,Transfers & Gifts
Ubox Anglai,???
Xiaoman Handmade Noodles,???
"Xikebao (Shanghai) Catering Service Co., Ltd.",???
"Yanasheng Jiaying Culture Communication (Hangzhou) Co., Ltd.",???
Yepudu,Eating Out
YogurtDayYogurt(Expo Land Store),Eating Out
Yugi,Transfers & Gifts
"Yunshang Zhizao (Shanghai) Technology Development Co., Ltd.",???
Zawu She,???
Zhengsanxi by Korea Street Cabin BBQ,???
ao**店,???
dudu,Transfers & Gifts
floating kitchen,???
luckin coffee,Eating Out
sydney,Transfers & Gifts
urnma,Transfers & Gifts
wa**店,???
ws**1,???
上海优悠生活商业管理有限公司,???
上海公共交通卡股份有限公司,???
上海地铁,Transportation
上海申通地铁资产经营管理有限公司,Transportation
上海纽约大学,???
上海都畅数字技术有限公司,Utilities & Services
上海饱猫餐饮管理有限公司,???
中国移动,???
乐科智控,???
卓联（上海）餐饮服务有限公司,???
哈啰,Transportation
哈啰出行,Transportation
地铁,Transportation
宁波市轨道交通集团有限公司线网调度分公司,???
得物,Shopping
恒品**店,???
拼多多,Shopping
汉堡王,Eating Out
浦东机场,???
淘天物流,Utilities & Services
淘宝,Shopping
淘宝闪购,Shopping
滴滴出行,Transportation
绿联**店,???
美团,Eating Out
蜜雪冰城934055店,???
高德打车,Transportation
高青西门市,???
鹈鹕镇大王,???
