timestamp,merchant,description,amount,category,confidence
8/23/2025 20:06,荣康倍儿爽共享按摩椅,LP-首都机场2020.01.04（公司收款）-B00292,30,Health & Wellness,0.255817565
8/26/2025 22:57,喜士多,济明门市-pos1,4,Groceries,0.260338643
8/30/2025 14:37,喜士多(高青西店),高青西门市-pos1,5.5,Groceries,0.260338643
9/2/2025 12:50,喜士多(高青西店),高青西门市-pos1,5.5,Groceries,0.260338643
9/4/2025 22:09,喜士多,济明门市-pos1,3.85,Groceries,0.260338643
9/6/2025 21:12,喜士多,济明门市-pos1,6.8,Groceries,0.260338643
9/7/2025 22:36,喜士多,济明门市-pos1,3.8,Groceries,0.260338643
9/9/2025 01:17,喜士多,济明门市-pos1,6.2,Groceries,0.260338643
9/11/2025 11:33,小满手工粉,上海丁香国际店-点餐即支付-2511307997180043276,25,Eating Out,0.236885713
9/13/2025 00:17,喜士多,济明门市-pos1,13,Groceries,0.260338643
9/14/2025 00:11,喜士多,济明门市-pos1,17,Groceries,0.260338643
9/18/2025 18:40,喜士多(高青西店),高青西门市-pos1,11.8,Transportation,0.260338643
9/27/2025 13:15,喜士多,济明门市-pos1,14.9,Groceries,0.260338643
10/5/2025 16:16,喜士多,济明门市-pos1,2,Groceries,0.260338643
10/10/2025 01:06,喜士多,济明门市-pos1,8.8,Groceries,0.260338643
10/16/2025 17:05,喜士多(高青西店),高青西门市-pos1,5.5,Groceries,0.260338643
10/18/2025 22:03,喜士多,济明门市-pos1,19.5,Groceries,0.260338643
10/24/2025 11:40,喜士多(高青西店),高青西门市-pos1,18.9,Groceries,0.260338643
10/25/2025 00:37,喜士多,济明门市-pos1,7.5,Groceries,0.260338643
10/25/2025 00:31,喜士多,济明门市-pos1,20.5,Groceries,0.260338643
10/27/2025 01:29,喜士多,济明门市-pos1,25.3,Groceries,0.260338643
11/16/2025 00:35,喜士多,济明门市-pos1,1.2,Groceries,0.260338643
11/17/2025 16:09,喜茶,喜茶支付中心支付单,36,Eating Out,0.253508523
11/21/2025 23:01,喜士多,济明门市-pos1,16.8,Groceries,0.260338643
11/23/2025 00:53,喜士多,济明门市-pos1,7.5,Groceries,0.260338643
12/6/2025 01:25,喜士多,济明门市-pos1,17.5,Groceries,0.260338643
12/8/2025 14:46,喜茶,喜茶支付中心支付单,14,Eating Out,0.253508523
12/12/2025 23:25,喜士多,济明门市-pos1,9,Groceries,0.260338643
12/13/2025 00:54,喜士多,济明门市-pos1,17,Groceries,0.260338643
12/14/2025 14:31,喜士多,济明门市-pos1,4,Eating Out,0.260338643
